电影名,导演,编剧,演员,上映时间,片长,类型,评分
爱情公寓5,韦正,"韦正,邹杰","娄艺潇,孙艺洲,李金铭,李佳航,成果,万籽麟,张一铎,陈赫,赵文琪,刘萌萌,榕榕,三浦研一,李晟,陈若轩,王子异,赵志伟,张双利,刘浩,韦正,刘一君,陈雅丽,唐超,罗峰,常鑫,申帅,封佳奇,王蕴凡,魏宗万,单小纯,严丰,于立,顾隽瑶,李志良,李汶樯,崔宗仁,王旭东,朱可佳",2020-01-12(中国大陆),暂无电影时长,喜剧,6.9
春&夏事件簿 ハルチカ,市井昌秀,"市井昌秀,山浦雅大,初野晴","佐藤胜利,桥本环奈,恒松祐里,清水寻也,前田航基,平冈拓真,上白石萌歌,二階堂姫瑠,志贺广太郎,小出惠介",2017-03-04(日本),118分钟,剧情,5.6
霹雳侠影之轰定干戈 霹靂俠影之轟定干戈,周郎,黄文择,黄文择,2013-06-07(中国台湾),暂无电影时长,武侠,8.3
怪胎 Freaks,扎克·利波夫斯基,"扎克·利波夫斯基,亚当·B·斯坦","埃米尔·赫斯基,布鲁斯·邓恩,朴敏庆,阿曼达·克鲁,莱克西·科尔克,艾娃·特雷克,米歇尔·哈里逊,马蒂·芬诺乔,阿莱克斯·潘诺维奇,RJ费瑟斯顿豪,科维西·阿梅扬,赖恩·贝尔 ,里斯·亚历山大,达科他·道尔比,李·肖顿,艾里亚·伯奇",2018-09-08(多伦多电影节),105分钟,剧情,7.0
我们 アタシラ。,ヨリコ ジュン,ヨリコ ジュン,"森野美咲,根本正胜",2017-03-04(日本),106分钟,悬疑,4.5
侠客行,钟少雄,"张挺,邓卉,刘仪伟,刘笑逸,毕侃明,金庸","蔡宜达,张嘉倪,李净洋,马羚,刘锡明,何佳怡,徐少强,李子雄,陈保元,汤镇业,巴多,吴廷烨,郑文森,董玥,田蕾希",2017-07-07(中国大陆),暂无电影时长,剧情,4.0
空中浩劫 第十三季 Mayday Season 13,P.J. Naworynski,Alix MacDonald,"Stephen Bogaert,Mark Whelan,Alex Furber",2013-12-16,暂无电影时长,纪录片,9.5
门锁 도어락,李权,"朴正熙,李权,阿尔贝托·马里尼","孔晓振,金叡园,金圣武,赵福来,李家燮,李天熙,金在华",2018-12-05(韩国),102分钟,悬疑,6.9
离别是美丽的 Departure,安德鲁·斯特格奥,安德鲁·斯特格奥,"茱丽叶特·斯蒂文森,埃里克斯·劳瑟,菲尼克斯·布罗萨德,芬巴尔·林奇,妮雅姆·库萨克,帕特里斯·朱伊夫,纪尧姆·托博",2015-10-09(伦敦电影节),109分钟,爱情,7.5
猛虎过山 Jeremiah Johnson,西德尼·波拉克,"约翰·米利厄斯,爱德华·安哈尔特","罗伯特·雷德福,威尔·吉尔,Delle Bolton,奥琳·安·麦克莱瑞",1972-09-10,108 分钟,剧情,7.6
对话尼克松 Frost/Nixon,朗·霍华德,皮特·摩根,"弗兰克·兰格拉,麦克·辛,山姆·洛克威尔,凯文·贝肯,马修·麦克费登,奥利弗·普莱特,丽贝卡·豪尔,托比·琼斯,安迪·米尔德,凯特·詹宁斯·格兰特,加布里埃尔·雅雷,吉姆·麦司奇门,帕蒂·麦克马科,杰弗里·布莱克,克林特·霍华德",2008-12-05(美国),122 分钟,剧情,8.0
冰海沉船 A Night to Remember,罗伊·沃德·贝克,"瓦尔特·洛德,埃里克·安卜勒","肯尼思·莫尔,罗纳德·艾伦,罗伯特·艾尔斯,霍纳尔·布莱克曼,安东尼·布谢尔,John Cairney,Jill Dixon,Jane Downs,詹姆斯·戴伦福思,迈克尔·古德利菲,肯尼思·格里菲思,Harriette Johns,弗兰克·劳顿,理查德·利奇,大卫·麦考姆,亚历克·马克温,约翰·梅里韦尔,拉夫·迈克尔,劳伦斯·奈史密斯,Russell Napier,雷德蒙德·菲利普斯,George Rose,约瑟夫·托姆利,Patrick Waddington,Jack Watling,杰弗里·拜尔顿,迈克尔·布莱恩特,西里尔·张伯伦,Richard Clarke,比·达夫尔,杰拉尔德  哈波尔,托马斯·希思科特,安德鲁·克尔,Barry MacGregor,Patrick McAlinney,Howard Pays,Philip Ray,哈罗德·西登斯,朱利安·萨默斯,提姆 特纳,Meier Tzelniker,Bart Allison,Gerald Anderson,简·安德森,Maidie Andrews,Roger Avon,Joan Benham,Wallace Bosco,维克多·布鲁克斯,杰米·布洛奇,Peter Burton,Pauline Challoner,唐纳德·丘吉尔,乔治·A·库珀",1958-07-01,123 分钟,剧情,8.3
性爱自修室 第二季 Sex Education Season 2,本·泰勒,"劳瑞·纳恩,Mawaan Rizwan,索菲·古德哈特,Rosie Jones,理查德·加德","阿萨·巴特菲尔德,吉莲·安德森,舒提·盖特瓦,艾玛·麦基,康纳·斯温德尔,凯达·威廉姆斯特灵,艾米·卢·伍德,钱尼尔·库勒,塔尼娅·雷诺兹,帕特里夏·艾莉森,米卡埃尔·佩斯布兰特,阿利斯泰·皮垂,安-玛莉·杜芙,詹姆斯·鲍弗,斯蒂芬·弗雷,吉姆·霍威克,拉卡·塔克雷尔,萨曼莎·斯毕洛,萨米·瓦塔尔巴利,乔治·罗宾森,克里斯·詹克斯,钦尼·埃祖杜,汉娜·沃丁厄姆,莎伦·邓肯-布鲁斯特,西蒙娜·阿什利,利诺·法希奥利,米米·基恩,米伦·麦克,乔治·索纳,泰尼亚·米勒,莉莉·纽马克,Lisa Palfrey,Joe Wilkinson,Doreene Blackstock,George Georgiou,Sarah Malin,Myriam Acharki,Jonny Muir,Dee Ahluwalia",2020-01-17(美国),暂无电影时长,剧情,9.0
后来的我们,刘若英,"袁媛,何昕明,潘彧,安巍,刘若英","井柏然,周冬雨,田壮壮,曲哲明,刘启恒,苏小明,邹倚天,张子贤,施予斐,李剑青",2018-04-28(中国大陆),120分钟,剧情,5.9
大佬爱美丽,冯德伦,"冯德伦,罗耀辉,杜如风","吴彦祖,陈奕迅,莫文蔚,罗家英,杜汶泽,元彪,冯德伦,成龙,谢霆锋,李灿森,郑秀文,叶山豪,李健仁",2004-04-08,104 分钟,喜剧,6.2
戴珍珠耳环的少女 Girl with a Pearl Earring,彼得·韦柏 ,奥莉薇亚·黑特理德,"科林·费尔斯,斯嘉丽·约翰逊,汤姆·威尔金森,朱迪·帕瑞福特,基里安·墨菲,埃茜·戴维斯,乔安娜·斯坎伦,阿拉济纳·曼恩,Chris McHallem,Gabrielle Reidy,罗洛·韦克斯,安娜·帕波维尔,Anaïs Nepper,Melanie Meyfroid,Nathan Nepper",2003-09-07,100 分钟,剧情,7.8
白雪公主和七个小矮人 Snow White and the Seven Dwarfs,戴维·汉德,"特德·西尔斯,Otto Englander,伊尔·赫德","阿德里亚娜·卡塞洛蒂,罗伊·阿特威尔,Stuart Buchanan,Hall Johnson Choir",1937-12-21,83 分钟,爱情,8.3
Starblack,Giovanni Grimaldi,Giovanni Grimaldi,"罗伯特·伍兹,埃尔加·安德森,Franco Lantieri,Jane Tilden,埃托雷·曼尼",1968-08-25(意大利),89分钟,西部,暂无电影评分
闭嘴！花美男乐团 닥치고 꽃미남 밴드,李权,서윤희,"盛骏,金明洙（L）,金民锡,刘民奎",2012-01-30,暂无电影时长,剧情,6.8
十年带球跑 The Pass,本·A·威廉姆斯,约翰·唐纳利,"拉塞尔·托维,阿琳泽·科纳,莉莎·麦格里利斯,尼克·迈瑞莱格伦,罗瑞·J·塞帕",2016-03-16(伦敦LGBT电影节),88分钟,剧情,6.9
久石让在武道馆：与宫崎骏动画一同走过的25年 久石譲 in 武道館 ~宮崎アニメと共に歩んだ25年間,久石让,暂无编剧信息,久石让,2008-08-05(日本),116分钟,纪录片,9.7
橘衫男子 Man in an Orange Shirt,迈克尔·塞缪尔斯,帕特里克·盖尔,"朱利安·莫里斯,瓦妮莎·雷德格瑞夫,奥利弗·杰森-科恩,大卫·吉亚西,埃迪·阿诺德,本·巴克,托米·巴斯托,亚瑟·贝特曼,劳拉·卡尔迈克尔,弗拉米妮亚·辛克,保罗·克莱顿,安琪儿·库碧,乔安娜·大卫,弗朗西斯·德·拉·图瓦,菲尔·邓斯特,詹姆斯·麦卡德尔",2017-07-31(英国),暂无电影时长,剧情,8.4
千娇百媚,陶秦,陶秦,"林黛,陈厚,麦基",1961-02-25,Hong Kong: 113 分钟(DVD version),歌舞,6.9
精武英雄,陈嘉上,"陈嘉上,叶广俭,林纪陶","李连杰,中山忍,钱小豪,蔡少芬,周比利,秦沛,仓田保昭,袁祥仁,楼学贤,高桥利道,谭淑梅,彭子晴,张浚鸿,李文标,林刚,麦咏麟,黄新,卢庆辉,刘思乐",1994-12-22(中国香港),106分钟,剧情,8.4
我是歌手：2015巅峰会,洪涛,"沈梦辰,黄绮珊,杨宗纬,韩磊,张杰,周笔畅,曹格,韩红,郑淳元,李健,黄丽玲,谭维维,胡彦斌","沈梦辰,黄绮珊,杨宗纬,韩磊,张杰,周笔畅,曹格,韩红,郑淳元,李健,黄丽玲,谭维维,胡彦斌",2015-04-03(中国大陆),130分钟,音乐,6.1
吸血鬼日记 第三季 The Vampire Diaries Season 3,马科斯·西恩加,"凯文·威廉姆森,Julie Plec,L.J. Smith","妮娜·杜波夫,保罗·韦斯利,伊恩·萨默海尔德,史蒂夫·R·麦奎因,约瑟夫·摩根",2011-09-15(美国),暂无电影时长,剧情,8.3
灭顶之灾 The Happening,M·奈特·沙马兰,M·奈特·沙马兰,"马克·沃尔伯格,佐伊·丹斯切尔,约翰·雷吉扎莫,阿什琳·桑切兹,贝蒂·巴克利",2008-06-10(纽约首映),91 分钟,科幻,6.0
他们最好的 Their Finest,罗勒·莎菲,"丽莎·伊万斯,盖比·奇亚普","山姆·克拉弗林,杰玛·阿特登,Nicholas Murchie,理查德·E·格兰特,亨利·古德曼,蕾切尔·斯特灵,杰克·休斯顿,比尔·奈伊,阿曼达·鲁特,帕特里克·吉布森,Darren Clarke,艾德·伯奇,丽莎·伊万斯,Richard Bevan,盖比·奇亚普,阿曼达·费尔班克-海恩斯,莉莉·奈特,弗朗西丝卡·奈特,阿尔菲·斯图尔特,杰伊·辛普森,保罗·里特,埃迪·马森,克劳迪亚·杰西,斯蒂芬妮·海姆,Natalia Ryumina,海伦·麦克洛瑞,丽贝卡·赛尔,杰瑞米·艾恩斯,杰克·莱西,米尔斯·理查森,戈登·布朗,休伯特·伯顿,迈克尔·马库斯,埃莉·哈丁顿,艾玛·康妮芙,嘉芙莲·哈里森,凯茜·墨菲,克里夫·罗素,Lee Whitlock",2016-09-11(多伦多电影节),117分钟,剧情,7.8
怪侠一枝梅,李国立,邓力奇,"霍建华,刘诗诗,马天宇,释彦能,萧正楠,佟丽娅,郑皓原,姚奕辰,袁姗姗,戴春荣,关晓彤,吕一,廖启智",2010-12-22(中国大陆),暂无电影时长,剧情,8.4
圣诞夜惊魂 The Nightmare Before Christmas,亨利·塞利克,"蒂姆·波顿,迈克尔·麦克道尔,卡罗琳·汤普森","丹尼·艾夫曼,克里斯·萨兰登,凯瑟琳·欧哈拉,威廉·赫基,格伦·沙迪克斯,保罗·雷宾斯,肯·帕吉,黛比·德斯特,格雷格·普罗普斯",1993-10-29(美国),76分钟,剧情,8.2
中国新歌声 第一季,周杰伦,暂无编剧信息,"周杰伦,汪峰,那英,庾澄庆,李咏,华少",2016-07-15(中国大陆),暂无电影时长,音乐,5.5
金镖黄天霸,李文化,张弦,"王群,陈永霞,仁祥",1987-11-16(中国大陆),100 分钟,动作,6.3
千人斩 千人斬,丁善玺,丁善玺,"王祖贤,王羽,陈法蓉,钱小豪,孙亚东,王小凤,午马",1991-06-28(中国台湾),101分钟(泰吉版),动作,6.2
尘土 Прах,米尔科·曼彻夫斯基,米尔科·曼彻夫斯基,"约瑟夫·费因斯,大卫·文翰,艾德里安·莱斯特",2001-08-29,127 分钟,剧情,7.6
逆战,林超贤,"林超贤,吴炜伦","周杰伦,谢霆锋,林鹏,白冰,安志杰,廖启智,吴嘉龙,洪天照,姜皓文,李馨巧,金燕玲,吴浩康",2012-01-17(中国大陆),122分钟,剧情,6.4
东京暴族 Tokyo Tribe,园子温,"园子温,井上三太","铃木亮平,海,清野菜名,大东骏介,石田卓也,市川由衣,Bernard Ackah,Joey Beni,Arata Matsuura,Yûki Ishii,佐佐木心音,中野英雄,大方斐纱子,山本亨,山口祥行,北村昭博 ,高山善广,深水元基,片山瞳,屋敷纮子,矢吹春奈,三田真央,横山美雪,泉泽祐希,叶美香,中川翔子,绪方义博,平冈亚希,洼冢洋介,佐藤隆太,染谷将太,竹内力",2014-08-30(日本),116分钟,喜剧,5.9
公主小妹,林合隆,齐锡麟,"张韶涵,吴尊,顾宝明,辰亦儒,胡宇威,卓文萱,夏靖庭",2007-09-16(中国台湾),暂无电影时长,喜剧,6.0
桃李花歌 도리화가,李宗弼,"李宗弼,郑在恩","柳承龙,裴秀智,宋清晨,金南佶,安宰弘,李东辉,卢英学",2015-11-25(韩国),109分钟,剧情,6.5
天蚕变 天蠶变,鲁俊谷,鲁俊谷,"徐少强,万梓良,刘永,王戎,刘雪华",1983-09-30,89分钟,动作,6.5
逆水寒,鞠觉亮,"温豪杰,戴蓉","张智霖,钟汉良,李小冉,宋佳,黄智贤,于娜,陈大成,一真,谢宁,修革,卢勇,刘卫华,孙茜,程武,李海涛",暂无上映时间,暂无电影时长,剧情,8.4
黎明之前,刘江,黄珂,"吴秀波,林永健,陆剑民,田小洁,张晞临,任正斌,吴晓东,海清",2010-06-10(中国大陆),暂无电影时长,剧情,9.2
无枪侠 Gunless,威廉姆·菲利普斯,威廉姆·菲利普斯,"保罗·格罗斯,西耶娜·盖尔利",2010-04-30,89 分钟,剧情,7.3
外出就餐 Eating Out,Q. Allan Brocka,Q. Allan Brocka,"斯科特·朗斯福德,利百加·科汉,Emily Brooke Hands,莱安·卡勒斯,吉姆·维拉罗斯",2004-02-14,90 分钟,喜剧,6.7
海街日记 海街diary,是枝裕和,"是枝裕和,吉田秋生","绫濑遥,长泽雅美,夏帆,广濑铃,大竹忍,堤真一,加濑亮,风吹淳,中川雅也,前田旺志郎 ,铃木亮平,坂口健太郎,树木希林",2015-05-14(戛纳电影节),127分钟,剧情,8.8
你好，之华,岩井俊二,岩井俊二,"周迅,秦昊,杜江,张子枫,邓恩熙,边天扬,吴彦姝,谭卓,胡歌,胡昌霖,李春明,穆龙,刘靖宇,高炳然,白素娟,刘思博,常海波,李勇,刘笑语,赵芙丽,建圳,郭德诚,王靖宇,孙萍,李泽宇,仇硕康,艺涵,李昊芳,王子璇,王远达,于建波,张俊宇",2018-11-09(中国大陆),114分钟,剧情,6.7
不屈不挠 Bronco Billy,克林特·伊斯特伍德,Dennis Hackin,"克林特·伊斯特伍德,桑德拉·洛克,杰佛里·刘易斯",1980-06-11,116 分钟,剧情,6.6
山中传奇 山中傳奇,胡金铨,钟玲,"石隽,徐枫,张艾嘉,田丰,吴明才,佟林,徐彩虹,孙越",1979-10-04(中国香港),125分钟,奇幻,8.2
大于或等于75度 ≥75℃,신현진,暂无编剧信息,"신현진,李宥利",2019-12-10(韩国),暂无电影时长,剧情,7.1
他其实没那么喜欢你 He's Just Not That Into You,肯·卡皮斯,"艾比·科恩,马克·西尔弗斯坦,格雷格·贝伦特,丽兹·塔琪萝","詹妮弗·安妮斯顿,本·阿弗莱克,詹妮弗·康纳利,布莱德利·库珀,斯嘉丽·约翰逊,凯文·康诺利,德鲁·巴里摩尔,贾斯汀·朗,金妮弗·古德温,摩根·莉莉",2009-02-06(美国),129 分钟,剧情,7.8
聚焦 Spotlight,汤姆·麦卡锡,"乔希·辛格,汤姆·麦卡锡","马克·鲁弗洛,迈克尔·基顿,瑞秋·麦克亚当斯,列维·施瑞博尔,约翰·斯拉特里,布莱恩·达西·詹姆斯,斯坦利·图齐,比利·克鲁德普,保罗·吉尔福伊尔,杰米·谢尔丹,兰·卡琉,尼尔·哈夫,迈克尔·西里尔·克赖顿,迈克尔·康特里曼",2015-09-03(威尼斯电影节),128分钟,剧情,8.8
新世纪福音战士 新世紀エヴァンゲリオン,庵野秀明,"庵野秀明,榎户洋司,樋口真嗣,萨川昭夫,山口宏,佐藤顺一,矶光雄,鹤卷和哉,摩砂雪,GAINAX","绪方惠美,林原惠美,三石琴乃,宫村优子,山口由里子,立木文彦,清川元梦,山寺宏一,关智一,岩永哲哉,岩男润子,优希比吕,长泽美树,子安武人,石田彰",1995-10-04(日本),暂无电影时长,剧情,9.4
黄石 第三季 Yellowstone Season 3,泰勒·谢里丹,"凯文·科斯特纳,卢克·葛莱姆斯,凯利·蕾莉,韦斯·本特利,科尔·豪瑟,凯尔西·周,伊恩·鲍汉,伊登·布洛林,凯蒂·科克雷尔,乔什·哈洛威,考莉安卡·基尔彻,詹妮弗·兰登,布雷肯·梅里尔,凯伦·皮特曼,丹宁 理查兹,弗里·J·史密斯,阿提库斯·托德,约翰·埃梅特·特雷西,杰佛逊·怀特","凯文·科斯特纳,卢克·葛莱姆斯,凯利·蕾莉,韦斯·本特利,科尔·豪瑟,凯尔西·周,伊恩·鲍汉,伊登·布洛林,凯蒂·科克雷尔,乔什·哈洛威,考莉安卡·基尔彻,詹妮弗·兰登,布雷肯·梅里尔,凯伦·皮特曼,丹宁 理查兹,弗里·J·史密斯,阿提库斯·托德,约翰·埃梅特·特雷西,杰佛逊·怀特",2020-06-17(美国),暂无电影时长,剧情,暂无电影评分
挪威7·22爆炸枪击案 22 July,保罗·格林格拉斯,"保罗·格林格拉斯,塞厄斯塔","安德斯·丹尼尔森·李,乔纳斯·斯特兰德·格利,乔恩·奥伊登,玛丽亚·波克,托尔比约恩·哈尔,乌里克·汉森·多维根,托恩·丹尼尔森,安尼克·冯·德·利佩,拉尔斯·阿兰兹-汉森,爱因德·伊恩沃德",2018-09-05(威尼斯电影节),143分钟,剧情,7.5
神探夏洛克 第一季 Sherlock Season 1,保罗·麦圭根,"阿瑟·柯南·道尔,马克·加蒂斯,史蒂文·莫法特,史蒂夫·汤普森","本尼迪克特·康伯巴奇,马丁·弗瑞曼,鲁珀特·格雷夫斯,安德鲁·斯科特,马克·加蒂斯,尤娜·斯塔布斯,露易丝·布瑞丽,菲尔·戴维斯,嘉玛·陈,奥利维亚·波莉,雯叶特·罗宾逊,坦娅·穆迪,希欧布罕·休莱特,约翰·麦克米兰,杰克·本斯,保罗·彻克,丹尼尔·伯希威尔,博迪·卡维尔,阿尔·韦弗,佐伊·特尔福德,黛布拉·摩尔,马修·尼达姆,Lauren Crace",2010-07-25(英国),暂无电影时长,剧情,9.4
鸟人 Birdman or (The Unexpected Virtue of Ignorance),亚利桑德罗·冈萨雷斯·伊纳里图,"亚利桑德罗·冈萨雷斯·伊纳里图,尼古拉斯·迦科波恩,亚历山大·迪内拉里斯,阿尔曼多·博","迈克尔·基顿,爱德华·诺顿,艾玛·斯通,扎克·加利凡纳基斯,安德丽娅·赖斯伯勒,娜奥米·沃茨,艾米·莱安,梅里特·韦弗,克拉克·米德尔顿,琳赛·邓肯",2014-08-27(威尼斯电影节),119分钟,剧情,7.9
内在美 뷰티 인사이드,白宗烈,"Seon-jeong Kim,朴正艺,卢熙京","韩孝周,金大明,都枝寒,朴信惠,李凡秀,朴叙俊,金相浩,千禹熙,赵达焕,李阵郁,徐康俊,李栋旭,高雅星,金柱赫,柳演锡,上野树里,文淑,申东美,李在浚,李玹雨,金熙元",2015-08-20(韩国),127分钟,剧情,7.6
神勇奶爸 The Pacifier,亚当·尚克曼,"托马斯·列农,罗伯特·本·加兰特","范·迪塞尔,菲丝·福德,布兰特妮·斯诺,劳伦·格拉汉姆,麦克斯·泰瑞奥",2005-03-04(美国),95 分钟,剧情,6.8
一路逆风,尼克·维克汉姆,"邓紫棋,韩寒,徐小凤,曹格,汪峰,洪涛,韩磊,武卿,林俊杰,Lupo Groining,张丹,吴国培,朱明锐,李蕊 ,李蕴,何超莲","邓紫棋,韩寒,徐小凤,曹格,汪峰,洪涛,韩磊,武卿,林俊杰,Lupo Groining,张丹,吴国培,朱明锐,李蕊 ,李蕴,何超莲",2017-01-06(中国大陆),90分钟,纪录片,4.9
猫妖传2018,轲然,"兰斯禹,李想,李小明","兰斯禹,李想,李小明",2018-02-05(中国大陆),60分钟,奇幻,暂无电影评分
机械师 The Mechanic,西蒙·韦斯特,"肖恩·萨莱诺,刘易斯-约翰·卡利诺,理查德·温克","杰森·斯坦森,本·福斯特,托尼·戈德温,唐纳德·萨瑟兰,杰夫·蔡斯,米妮·安顿,克里斯蒂娜·坎贝尔",2012-08-02(中国大陆),93分钟,剧情,7.0
恐吓运动 Scare Campaign,卡梅伦·凯恩斯,"卡梅伦·凯恩斯,科林·凯恩斯","梅根·沃纳,伊恩·麦杜思,奥利维亚·德容格,乔什·邝·塔特,帕特里克·哈维,卡桑德拉·玛格拉斯,斯蒂夫·莫察基斯,约翰·布鲁普顿,杰森·盖瑞,西格丽德·索顿,叶凯婷",2016-06-12(上海电影节),80分钟,恐怖,7.0
父与女 Father and Daughter,迈克尔·度德威特,迈克尔·度德威特,暂无演员信息,2001-05-27,暂无电影时长,剧情,9.2
越狱  第四季 Prison Break Season 4,Kevin Hooks,Paul Scheuring,"温特沃斯·米勒,多米尼克·珀塞尔,莎拉·韦恩·卡丽丝,威廉·菲克纳,罗伯特·克耐普,克里斯·范斯",2008-09-01(美国),暂无电影时长,剧情,8.0
献给爱妻的歌 Unfinished Song,保罗·安德鲁·威廉姆斯,保罗·安德鲁·威廉姆斯,"杰玛·阿特登,克里斯托弗·埃克莱斯顿,瓦妮莎·雷德格瑞夫,特伦斯·斯坦普,安妮·雷德",2012-09-15(多伦多电影节),93分钟,剧情,8.1
空中惊魂 Turbulent Skies,弗雷德·欧伦·雷,"弗雷德·欧伦·雷,Peter Sullivan","卡斯帕·凡·迪恩,布拉德·道里夫,妮可尔·埃格特,帕特里克·茂顿,Ted Monte,Mark Enticknap,Gerald Webb,Toni Adair,Teresa Barbosa,Cal Bartlett,Siri Baruc,Stan Bly,杰森·库克,Trish Cook,Mark Costello,Ben Deschaine,妮娜芬润,Haran Jackson,安吉拉·兰迪斯,Kinsey McLean,Kimberly Parmon,Todd Senofonte,罗伯特·R·谢弗,迈克尔·斯万",2010,82分钟,动作,4.5
快乐的大脚 Happy Feet,乔治·米勒,"沃伦·科尔曼,约翰·科里","伊利亚·伍德,布莱特妮·墨菲,休·杰克曼,妮可·基德曼,罗宾·威廉姆斯,雨果·维文",2006-11-17(美国),108 分钟,喜剧,7.4
四月是你的谎言 四月は君の嘘,石黑恭平,"吉冈孝夫,新川直司","花江夏树,种田梨沙,佐仓绫音,逢坂良太,早见沙织,梶裕贵,茅野爱衣,能登麻美子",2014-10-10(日本),暂无电影时长,剧情,9.0
